"BARRACUDA","FISHES,BONY,UNSPECIFIED","JACKS","MACKEREL,KING","PORGY,UNSPECIFIED","TUNA AND MACKERELS,UNSPECIFI","GROUPER,UNSPECIFIED","SNAPPER,LANE","SNAPPER,MUTTON","SNAPPER,SILK","SNAPPER,YELLOWTAIL","DOLPHINFISH","LOBSTERS,SPINY","SNAPPER,UNSPECIFIED","TRIGGERFISH,QUEEN","MARLIN,UNSPECIFIED","CONCH,QUEEN","OCTOPUS,UNSPECIFIED","BALLYHOO","PARROTFISHES,UNSPECIFIED","GRUNT,WHITE","GOATFISH,UNSPECIFIED","HOGFISH","SNOOK,UNSPECIFIED","MULLET,WHITE","BOXFISH,UNSPECIFIED","SQUIRRELFISH","HERRING,SARDINELLA","MOJARRAS,UNSPECIFIED","SHELLFISH,UNSPECIFIED","CRAB,BLUE LAND","SHRIMP,PENAEUS,UNSPECIFIED","TUNA,SKIPJACK","TUNNY,LITTLE","AMBERJACK,GREATER","SHARKS,REQUIEM,UNSPECIFIED","TUNA,BLACKFIN","GOBY,SIRAJO","GROUPER,RED HIND","BUMPER,ATLANTIC","DRUM,REEF CROAKER","GRUNT,BLACK MARGATE","LADYFISH","MACKEREL,CERO","MULLET,LIZA","MULLET,UNSPECIFIED","TARPON","SNAPPER,VERMILION","JACK,BAR","GROUPER,CONEY","LOBSTER,SPOTTED SPINY","SNAPPER,QUEEN","BLUE RUNNER","TUNA,YELLOWFIN","GOATFISH,YELLOW","GROUPER,NASSAU","JACK,HORSE-EYE","SCAD,BIGEYE","SNAPPER,BLACK","MARLIN,BLUE","RAINBOW RUNNER","HALFBEAK,SILVERSTRIPE","WRASSE,SPANISH HOGFISH","TRUNKFISH,UNSPECIFIED","GRUNT,UNSPECIFIED","GROUPER,GOLIATH","GOATFISH,SPOTTED","MANGROVE OYSTER","JACK,YELLOW","DRUMMER,WHITEMOUTH","HERRING,ATLANTIC THREAD","PERMIT","GROUPER,ROCK HIND","BARBU","BONEFISH","BIGEYE","SNAPPER,CARDINAL","TUNA,ALBACORE","BARRACUDA,GUAGUANCHE","GRUNT,MARGATE","HOUNDFISH","TILEFISH,SAND","MOONFISH,ATLANTIC","GROUPER,YELLOWFIN","SURGEONFISH,OCEAN","BARRACUDA,SOUTHERN SENNNET","GROUPER,MISTY","CHUB,RUDDERFISH","SNAPPER,BLACKFIN","POMPANO,AFRICAN","SNAPPER,GRAY","WAHOO","CRAB,SPECKLED SWIMMING","TOPSNAIL,WEST INDIAN","MOJARRA,SILVER JENNY","CUTLASSFISH,ATLANTIC","BARRACUDA,GREAT","GROUPER,TIGER","TRIGGERFISH,OCEAN","CRAB,UNSPECIFIED","REMORA,SHARKSUCKER","TILEFISH,BLACKLINE","STINGRAYS,UNSPECIFIED","ANGELFISH,GRAY","BUTTERFLYFISH,FOUREYE","LOBSTER,SPANISH SLIPPER","SNOOK,COMMON","SPANISH FLAG","JACK,ALMACO","SNAPPER,DOG","TRIPLETAIL","PARROTFISH,RAINBOW","CUTLASSFISH","GROUPER,RED","RAYS,MANTA","JACK,BLACK","RAY,SPOTTED EAGLE","SCOMBROPS,ATLANTIC","GROUPER,YELLOWEDGE","LOBSTER,RIDGED SLIPPER","CRAB,CORAL","SNAPPER,CUBERA","LIONFISH","-","YEAR","REGION","YEAR_REGION","LOCATION","LLC_abrev","lat","lon","GEAR","GEAR2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.314958357955499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","CAMUY","CAM",18.4473241,-66.862637,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,9.750998267510871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","CAROLINA","CAR",18.3967757,-65.9687781,"BY HAND, DIVING GEAR","BHD"
0,22.543218965134503,0,0,0,0,0,0,0,0,0,0,14.257583544345794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","CATANO","CAT",18.4419335,-66.145498,"BY HAND, DIVING GEAR","BHD"
0,8.5889750146918,0,0,0,0,28.886436774202526,0,0,0,0,0,16.546011356275567,18.37674938701075,7.465768876545805,0,0,0,0,29.224961260196736,0,0,0,0,0,0,5.279095799377011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","DORADO","DOR",18.4732598,-66.2603935,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,10.63554202191877,0,0,0,0,0,46.78166938203467,0,9.834699358648438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","ISABELA","ISA",18.4852958,-67.013989,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,24.89321456039778,0,0,0,54.517255502271944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","LOIZA","LOI",18.4750387,-65.90328,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,38.8776981031542,0,0,0,0,0,35.8045697238495,21.991056304325173,0,0,53.83642498996381,19.077065451216548,0,0,0,0,20.325224576865075,10.712333936169092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","LUQUILLO","LUQ",18.3679603,-65.7099453,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,18.510077007403293,0,0,0,0,7.682212795998299,0,0,0,0,0,0,0,0,0,0,0,19.41775425557755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","RIO GRANDE","RGR",18.3763694,-65.7984341,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,11.307911056424171,0,0,0,14.429023574310218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.051651091437563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","SAN JUAN","SJU",18.4223633,-66.0680934,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,11.307911056424171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983,"PR-North","PR-North-1983","VEGA BAJA","VBA",18.4550266,-66.3977734,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,16.519120918711142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","ARECIBO","ARE",18.4339836,-66.6753225,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,9.914892069306655,0,7.8113346588787245,0,0,29.886792049147733,0,0,0,0,0,0,0,0,0,0,0,6.106401198169016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","CAMUY","CAM",18.4473241,-66.862637,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,20.584674239783343,9.113223768678129,8.130294884873488,0,10,0,0,11.497973292280687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","DORADO","DOR",18.4732598,-66.2603935,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,36.42963963683967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","ISABELA","ISA",18.4852958,-67.013989,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,12.212802396256151,0,0,0,44.53145907569165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","LOIZA","LOI",18.4750387,-65.90328,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.086421538546535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","LUQUILLO","LUQ",18.3679603,-65.7099453,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,19.829784138537665,0,0,0,16.77366782191659,11.199273584032136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1984,"PR-North","PR-North-1984","RIO GRANDE","RGR",18.3763694,-65.7984341,"BY HAND, DIVING GEAR","BHD"
0,81.00925873009825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985,"PR-North","PR-North-1985","BARCELONETA","BCL",18.4699891,-66.5582299,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5940953205296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985,"PR-North","PR-North-1985","CAMUY","CAM",18.4473241,-66.862637,"BY HAND, DIVING GEAR","BHD"
0,41.01393491363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985,"PR-North","PR-North-1985","CATANO","CAT",18.4419335,-66.145498,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,27.548658250992915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985,"PR-North","PR-North-1985","ISABELA","ISA",18.4852958,-67.013989,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,22.834810518592004,0,0,0,35.98114585640652,17.11306935824196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985,"PR-North","PR-North-1985","LUQUILLO","LUQ",18.3679603,-65.7099453,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,5.669467095151007,0,0,0,0,0,11.338934190213822,0,0,0,0,0,0,5.824823725143964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985,"PR-North","PR-North-1985","VEGA ALTA","VAL",18.4360963,-66.3362631,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.405626677613604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1986,"PR-North","PR-North-1986","CAMUY","CAM",18.4473241,-66.862637,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30949336253053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1986,"PR-North","PR-North-1986","DORADO","DOR",18.4732598,-66.2603935,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.198039027185569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1986,"PR-North","PR-North-1986","ISABELA","ISA",18.4852958,-67.013989,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,18.903262504922267,0,0,0,57.53839297955757,6.531972647447324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1986,"PR-North","PR-North-1986","LUQUILLO","LUQ",18.3679603,-65.7099453,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,10.954451150103322,0,0,0,0,0,0,0,0,0,8.56348838575729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1986,"PR-North","PR-North-1986","RIO GRANDE","RGR",18.3763694,-65.7984341,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.04345773288535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1987,"PR-North","PR-North-1987","BARCELONETA","BCL",18.4699891,-66.5582299,"BY HAND, DIVING GEAR","BHD"
0,6.831300510590937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1987,"PR-North","PR-North-1987","CATANO","CAT",18.4419335,-66.145498,"BY HAND, DIVING GEAR","BHD"
0,0,0,0,0,0,0,0,0,0,41.03656905773191,0,7.9162280580463324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.694853460440797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1987,"PR-North","PR-North-1987","SAN JUAN","SJU",18.4223633,-66.0680934,"BY HAND, DIVING GEAR","BHD"
