"Bartholomea annulata","Lebrunia neglecta","Phymanthus crucifer","Ricordea florida","Anemone spp.","Eudistoma spp.","Trididemnum solidum","Ascidian spp.","Thalassia testudinum","Amphiroa spp.","Asparagopsis taxiformis","Asparagopsis taxiformis on Ramicrusta","Caulerpa racemosa","Caulerpa spp.","Caulerpa spp. on Ramicrusta","Dichotomaria marginata","Dictyota spp.","Dictyota spp. on Ramicrusta","Galaxaura spp.","Galaxaura spp. on Ramicrusta","Gracilaria spp.","Halimeda discoidea","Halimeda spp.","Halimeda spp. on Ramicrusta","Halimeda tuna","Jania spp.","Lobophora spp.","Lobophora variegata","Lobophora variegatus on Ramicrusta","Martensia pavonia","Padina spp.","Sargassum hystrix","Sargassum natans","Stypopodium spp.","Stypopodium zonale","Udotea spp.","Valonia ventricosa","Wrangelia bicuspidata","Macroalgae spp.","Ramicrusta spp.","Peyssonnelia spp.","Turf (mixed) on Ramicrusta","Turf (mixed) with sediment","Turf (mixed)","Antillogorgia acerosa","Antillogorgia americana","Antillogorgia bipinnata","Antillogorgia rigida","Eunicea calyculata","Eunicea flexuosa","Eunicea mammosa","Eunicea pallida","Eunicea spp.","Eunicea succinea","Eunicea tourneforti","Gorgonia mariae","Gorgonia ventalina","Muricea atlantica","Muricea elongata","Muricea muricata","Muricea pinnata","Muriceopsis flavida","Plexaura homomalla","Plexaura kukenthali","Plexaura spp.","Plexaurella nutans","Plexaurella spp.","Pseudoplexaura flagellosa","Pseudoplexaura spp.","Pseudoplexaura wagenaari","Pterogorgia guadalupensis","Pterogorgia spp.","Octocoral spp.","Briareum asbestinum","Erythropodium caribaeorum","Octocoral spp.(encrusting)","Agelas citrina","Agelas clathrodes","Agelas conifera","Agelas dispar","Agelas sceptrum","Agelas spp.","Agelas sventres","Agelas tubulata","Aiolochroia crassa","Amphimedon compressa","Amphimedon viridis","Aplysina archeri","Aplysina cauliformis","Aplysina fistularis","Aplysina fulva","Aplysina lacunosa","Aplysina spp.","Biemna caribea","Biemna spp.","Callyspongia armigera","Callyspongia fallax","Callyspongia plicifera","Callyspongia spp.","Callyspongia tenerrima","Callyspongia vaginalis","Chondrilla caribensis","Chondrosia collectrix","Cinachyrella apion","Cinachyrella kuekenthali","Clathria spp.","Clathria venosa","Cliona aprica","Cliona caribbaea","Cliona delitrix","Cliona laticavicola","Cliona spp.","Cliona tenuis","Cliona varians","Cribrochalina vasculum","Desmapsamma spp.","Desmapsamma anchorata","Dictyonella funicularis","Dictyonella spp.","Diplastrella spp.","Dragmacidon reticulatum","Dysidea etheria","Dysidea janiae","Ectyoplasia ferox","Geodia neptuni","Haliclona spp.","Halisarca caerulea","Halisarca spp.","Iotrochota arenosa","Iotrochota birotulata","Ircinia campana","Ircinia felix","Ircinia spp.","Ircinia strobilina","Monanchora arbuscula","Mycale laevis","Mycale laxissima","Neofibularia nolitangere","Neopetrosia carbonaria","Neopetrosia proxima","Neopetrosia rosariensis","Neopetrosia spp.","Niphates alba","Amphimedon caribica","Niphates caycedoi","Niphates digitalis","Niphates erecta","Niphates spp.","Petrosia pellasarca","Petrosia spp.","Petrosia weinbergi","Phorbas amaranthus","Timea micraster","Plakortis angulospiculatus","Plakortis halichondrioides","Plakortis spp.","Prosuberites laughlini","Ptilocaulis walpersii","Scopalina ruetzleri","Smenospongia aurea","Smenospongia conulosa","Spheciospongia vesparium","Spirastrella coccinea","Spirastrella hartmani","Suberea spp.","Svenzea zeai","Tedania klausi","Topsentia ophiraphidites","Topsentia spp.","Verongula reiswigi","Verongula rigida","Verongula spp.","Xestospongia muta","Sponge spp.","Acropora cervicornis","Acropora palmata","Acropora prolifera","Agaricia agaricites","Agaricia fragilis","Agaricia grahamae","Agaricia humilis","Agaricia lamarcki","Agaricia spp.","Colpophyllia natans","Dendrogyra cylindrus","Dichocoenia stokesii","Diploria labyrinthiformis","Eusmilia fastigiata","Helioseris cucullata","Isophyllia rigida","Isophyllia sinuosa","Madracis auretenra","Madracis carmabi","Madracis decactis","Madracis formosa","Madracis pharensis","Madracis senaria","Madracis spp.","Manicina areolata","Meandrina jacksoni","Meandrina meandrites","Montastraea cavernosa","Mussa angulosa","Mycetophyllia aliciae","Mycetophyllia danaana","Mycetophyllia ferox","Mycetophyllia lamarckiana","Mycetophyllia spp.","Oculina diffusa","Orbicella annularis","Orbicella annularis (complex)","Orbicella faveolata","Orbicella franksi","Porites astreoides","Porites colonensis","Porites divaricata","Porites furcata","Porites porites","Pseudodiploria clivosa","Pseudodiploria strigosa","Scolymia cubensis","Scolymia spp.","Siderastrea radians","Siderastrea siderea","Solenastrea bournoni","Stephanocoenia intersepta","Stony Coral spp.","Millepora alcicornis","Millepora complanata","Millepora spp.","Millepora squarrosa","Stylaster roseus","Condominium spp.","Palythoa grandis","Palythoa caribaeorum","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63740793725201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7615773105863908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6557438524302001,0,0,0,3.266496594212215,0,0,0,0,1.740689518552921,1.3152946437965904,0,0,0.8426149773176358,0,0.714142842854285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7682887362833544,0,0,0.8426149773176358,0,0,0,1.6552945357246849,0,0,0,0,0,0,0,0,1.0583005244258363,0,0,0,0,0,0,0,0.6557438524302001,,"1999","North-Northeast","Fajardo","Cayo Diablo (1999)","Shallow","1","1999Cayo Diablo (1999)1","1999_Cayo Diablo (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.506359959174482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.723967694375247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2124355652982142,0,0,0,0.5477225575051661,0,0,0,0,2.083266665599966,0,0,0,0,0,0.6244997998398398,0,0,0,0,0,0,0,0,0,0,0,0,2.3515952032609695,0,0,0,0,0,0,0,0,4.316248370981447,0,0,0.7681145747868608,0,0,0,0.6244997998398398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9899494936611666,,"1999","North-Northeast","Fajardo","Cayo Diablo (1999)","Shallow","2","1999Cayo Diablo (1999)2","1999_Cayo Diablo (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2809234989768825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3853720883753127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6557438524302001,0,0,0,0,0,0,0,0,1.4212670403551895,0,0,0,1.0099504938362078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0074859899884734,0,0,0,0,0,0,0,0,4.739198244429114,0,0,1.2884098726725126,0,0,0,1.004987562112089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Cayo Diablo (1999)","Shallow","3","1999Cayo Diablo (1999)3","1999_Cayo Diablo (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.897457079114693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.797220075561143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8306623862918074,0,0,0,0.7416198487095663,0,0,0,0,1.7,0,4.044749683231337,0,0,0,0.6928203230275509,0,0,0,0,0.6928203230275509,0,0,0,0,0,0,0,1.3564659966250536,0,0,0,0,0,0,0,0,4.018706259482023,0,0,0,0,0,0,1.6792855623746665,0,0,0,0,0,0.5385164807134504,0,0,0,0,0,0,0,0,0,0,0.6403124237432849,,"1999","North-Northeast","Fajardo","Cayo Diablo (1999)","Shallow","4","1999Cayo Diablo (1999)4","1999_Cayo Diablo (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.296824596572466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5588457268119895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47648230602334,0,0,0,0,0,0,0,0,2.6664583251946765,0,0,0,0,0,1.3114877048604001,0,0,0,0,0,0,0,0,0,0,0,1.7349351572897471,2.6172504656604803,0,0,0,0,0,0,0,0,3.3090784215548594,0,0,1.6217274740226855,0,0,0,1.944222209522358,0,1.752141546793523,0,0,0,1.5394804318340654,0,0,0,0,0,0,0,0,0,0,1.3856406460551018,,"1999","North-Northeast","Fajardo","Cayo Diablo (1999)","Shallow","5","1999Cayo Diablo (1999)5","1999_Cayo Diablo (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0.6928203230275509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4898979485566356,0,0,0,0,6.636264009214823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02469507659596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1704699910719625,0,0,0,0.9,0,0,0,0,0.33166247903553997,1.96468827043885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.210475022089695,0,0,2.1047565179849186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4898979485566356,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominitos (1999)","Shallow","1","1999Palominitos (1999)1","1999_Palominitos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0174241001832014,0,0,0,0,7.672027111526653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3892443989449805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6403124237432849,0,0,0,0.9797958971132712,0,0,0,0,1.5524174696260025,1.6492422502470643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.958039891549808,0,0,1.0816653826391966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominitos (1999)","Shallow","2","1999Palominitos (1999)2","1999_Palominitos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03440804327886,0,0,0,0,6.241794613730894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8708286933869707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2649110640673518,0,0,0,1.8303005217723127,0,0,0,0,1.4317821063276353,2.493992782667985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1357816691600546,0,0,4.2731721238443,0,0,1.4594519519326423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominitos (1999)","Shallow","3","1999Palominitos (1999)3","1999_Palominitos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.135124385741288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4798648586948742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6633249580710799,0,0,0,3.5114099732158874,0,0,0,0,0.6403124237432849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32634959423431,0,0,0.9055385138137416,0,0,0,0.9746794344808963,0,0,0,0,0,1.3601470508735443,0,0,0,0,0,0,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominitos (1999)","Shallow","4","1999Palominitos (1999)4","1999_Palominitos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0677078252031311,0,0,0,0,7.321885003194191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.658947160061666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.947880594596735,0,0,0,0,0.8944271909999159,0,0,0,1.6217274740226855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.640043103248073,0,0,1.7578395831246945,0,0,0,1.174734012447073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominitos (1999)","Shallow","5","1999Palominitos (1999)5","1999_Palominitos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2688577540449522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9539392014169457,0,0,0,2.349468024894146,0,0,0,0,1.6309506430300091,0,0,0.99498743710662,0,0,0.9539392014169457,0,0,0,0,0,0,0,0,0,0,0,0,1.4730919862656235,0,0,0,0,0.8888194417315589,0,0,0,1.8520259177452134,0,0,2.4083189157584592,0,0,0,1.8894443627691184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9539392014169457,,"1999","North-Northeast","Fajardo","Palominos (1999)","Shallow","1","1999Palominos (1999)1","1999_Palominos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565051222562872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2649110640673518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,3.78549864614954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24037034920393,0,0,1.0862780491200215,0,0,0,2.0760539492026693,0,0,0,0,0,1.6031219541881396,0,0,0,0,0,0.8366600265340756,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominos (1999)","Shallow","2","1999Palominos (1999)2","1999_Palominos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.213875518748574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03440804327886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.396424004376894,0,0,0,1.0630145812734648,0,0,0,0,2.455605831561735,0,0,0,0,0.5196152422706632,0.8944271909999159,0,0,0,0,0.5916079783099616,0,0,0,0,0,0,0,1.6792855623746665,0,0,0,0,0,0,0,0,1.9235384061671346,0,0,1.8055470085267789,0,0,0,0.5196152422706632,0,0,0,0,0.5196152422706632,2.1260291625469296,0,0,0,0,0,1.1224972160321824,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominos (1999)","Shallow","3","1999Palominos (1999)3","1999_Palominos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7071067811865476,0,0,0,0,7.508661665037252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0295630140987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1445523142259597,0,0,0,0,0,0,0,0,2.8513154858766505,0,0,0,0,0,1.0295630140987,0,0,0,0,0,0,0,0,0,0,0,0,2.222611077089287,0,0,0,0,0,0,0,0,3.562302626111375,0,0,1.4594519519326423,0,0,0,1.3711309200802089,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominos (1999)","Shallow","4","1999Palominos (1999)4","1999_Palominos (1999)","1999_Fajardo","1999_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2203603311174516,0,0,0,0,7.5518209724542595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458257569495584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4560219778561037,0,0,0,1.1224972160321824,0,0,0,0,1.9595917942265424,0.6244997998398398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6733200530681511,0,0,0,0,0,0,0,0,0,0,0,2.1748563170931545,0,0,0,1.4352700094407325,0,0,0,0,0,2.1977260975835913,0,0,0,0,0,0.7416198487095663,0,0,0,0,0,,"1999","North-Northeast","Fajardo","Palominos (1999)","Shallow","5","1999Palominos (1999)5","1999_Palominos (1999)","1999_Fajardo","1999_North-Northeast"
