label,Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia fragilis,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.,Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp.,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon caribica,Amphimedon compressa,Amphimedon viridis,Amphiroa spp.,Anemone spp.,Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina lacunosa,Aplysina spp.,Ascidian spp.,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Bartholomea annulata,Biemna caribea,Biemna spp.,Briareum asbestinum,Callyspongia armigera,Callyspongia fallax,Callyspongia plicifera,Callyspongia spp.,Callyspongia tenerrima,Callyspongia vaginalis,Caulerpa racemosa,Caulerpa spp.,Caulerpa spp. on Ramicrusta,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.,Clathria venosa,Cliona aprica,Cliona caribbaea,Cliona delitrix,Cliona laticavicola,Cliona spp.,Cliona tenuis,Cliona varians,Colpophyllia natans,Condominium spp.,Cribrochalina vasculum,Dendrogyra cylindrus,Desmapsamma anchorata,Desmapsamma spp.,Dichocoenia stokesii,Dichotomaria marginata,Dictyonella funicularis,Dictyonella spp.,Dictyota spp.,Dictyota spp. on Ramicrusta,Diplastrella spp.,Diploria labyrinthiformis,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Erythropodium caribaeorum,Eudistoma spp.,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp.,Eunicea succinea,Eunicea tourneforti,Eusmilia fastigiata,Galaxaura spp.,Galaxaura spp. on Ramicrusta,Geodia neptuni,Gorgonia mariae,Gorgonia ventalina,Gracilaria spp.,Haliclona spp.,Halimeda discoidea,Halimeda spp.,Halimeda spp. on Ramicrusta,Halimeda tuna,Halisarca caerulea,Halisarca spp.,Helioseris cucullata,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp.,Ircinia strobilina,Isophyllia rigida,Isophyllia sinuosa,Jania spp.,Lebrunia neglecta,Lobophora spp.,Lobophora variegata,Lobophora variegatus on Ramicrusta,Macroalgae spp.,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp.,Manicina areolata,Martensia pavonia,Meandrina jacksoni,Meandrina meandrites,Millepora alcicornis,Millepora complanata,Millepora spp.,Millepora squarrosa,Monanchora arbuscula,Montastraea cavernosa,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Mussa angulosa,Mycale laevis,Mycale laxissima,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp.,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp.,Niphates alba,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp.,Octocoral spp.,Octocoral spp.(encrusting),Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Padina spp.,Palythoa caribaeorum,Palythoa grandis,Petrosia pellasarca,Petrosia spp.,Petrosia weinbergi,Peyssonnelia spp.,Phorbas amaranthus,Phymanthus crucifer,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp.,Plexaura homomalla,Plexaura kukenthali,Plexaura spp.,Plexaurella nutans,Plexaurella spp.,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Prosuberites laughlini,Pseudodiploria clivosa,Pseudodiploria strigosa,Pseudoplexaura flagellosa,Pseudoplexaura spp.,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.,Ptilocaulis walpersii,Ramicrusta spp.,Ricordea florida,Sargassum hystrix,Sargassum natans,Scolymia cubensis,Scolymia spp.,Scopalina ruetzleri,Siderastrea radians,Siderastrea siderea,Smenospongia aurea,Smenospongia conulosa,Solenastrea bournoni,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Sponge spp.,Stephanocoenia intersepta,Stony Coral spp.,Stylaster roseus,Stypopodium spp.,Stypopodium zonale,Suberea spp.,Svenzea zeai,Tedania klausi,Thalassia testudinum,Timea micraster,Topsentia ophiraphidites,Topsentia spp.,Trididemnum solidum,Turf (mixed),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Udotea spp.,Valonia ventricosa,Verongula reiswigi,Verongula rigida,Verongula spp.,Wrangelia bicuspidata,Xestospongia muta, ,YEAR,REGION,ISLAND
1999-PR-EAST,0,0,0,3.038,0,0,0,0,4.010666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9946666666666667,0,0,1.0906666666666667,0,0,0.066,0,0,0,0,0,0,0.2906666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39133333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7966666666666666,0,0,0.05533333333333333,0,0,0,0,0,0,0,0.20066666666666666,0,0,0.2793333333333333,0,0,2.0653333333333332,0,0,0,0,0,0,0,0,0,0,0,0.05266666666666667,0.08600000000000001,0,0,0,0,0,0,0,0,0,0,2.7093333333333334,0,0,0,15.212666666666667,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2886666666666664,0,0,0,1.6773333333333333,0,0,0.20466666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018000000000000002,1.0953333333333333,0,0,0,0,0,0,1.0533333333333335,0,0.07466666666666667,0,0,0,0,0,0,0,0,0,0,0,48.82866666666666,0,0,0,0,0,0,0,0,0, ,1999,EAST,PR
1999-PR-SOUTH,0,0,0,1.1373333333333333,0,0,0,0,0.5740000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1766666666666667,0,0,0,0,0,0.13533333333333333,0,0,0,0,0,0,0.35833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05533333333333333,0,0,0,0,0,0,0,0.040666666666666663,0,0,0,0,0,5.168,0,0,0.06333333333333334,0,0,0,0,0,0,0,0.721,0,0,0.118,0,0,2.7333333333333334,0,0,0,0,0,0.029333333333333333,0,0,0.07766666666666668,0,0,0.07733333333333334,0.042666666666666665,0,0,0,0,0,0,0,0,0,0,3.5363333333333333,0,0,0,8.99,0,0,0,1.2863333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.268666666666667,0,0,0,0.5853333333333334,0,0.07333333333333333,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737,0,0,0,0,0,0,4.709333333333333,0,0.06833333333333333,0,0,0,0,0,0,0,0,0,0,0,55.562666666666665,0,0,0,0,0,0,0,0,0, ,1999,SOUTH,PR
1999-PR-WEST,0.042666666666666665,0,0,0.7453333333333333,0,0,0,0,2.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176,0,0,1.5373333333333332,0,0,0,0,0,0,0,0,0,0.39066666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1053333333333333,0,0,2.0166666666666666,0,0,0,0,0,0,0,0.8119999999999999,0,0,0.14533333333333334,0,0,2.8786666666666667,0,0,0,0,0,0,0,0,0.008,0,0,0,0.24666666666666667,0,0,0,0,0,0,0,0,0,0,4.806666666666667,0,0,0,9.204,0,0,0,0.5413333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.976,0,0,0,2.3193333333333332,0,0,1.1813333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0433333333333332,0,0,0,0,0,0,5.05,0.048666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,51.112,0,0,0,0,0,0,0,0,0, ,1999,WEST,PR
2000-PR-SOUTH,0.10200000000000001,0,0,2.8913333333333333,0,0,0,0,0.2293333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18333333333333332,0,0,0.25066666666666665,0,0,0.27666666666666667,0,0,0,0,0,0,0.6253333333333333,0,0,0,0,1.1733333333333333,0,0,0,0,0,0,0,0,0.15733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02266666666666667,0,0,0,0,0,0,0.09266666666666666,0.07866666666666666,0,0,0,0,0,3.783333333333333,0,0,0.224,0,0,0,0.05333333333333334,0,0,0,0.284,0,0,0.07266666666666667,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0.07733333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.517333333333333,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2026666666666668,0,0,0.3,0.286,0,0,0.9026666666666666,0,0,0,0,0,0,0,0,0,0,0.017333333333333333,0,0,0.032,0.9553333333333334,0,0,0,0,0,0,4.366666666666666,0.09466666666666666,0,0,0,0,0,0,0,0,0,0,0,0,58.54266666666667,0,0,0,0,0,0,0,0,0, ,2000,SOUTH,PR
2000-PR-WEST,0.025333333333333333,0,0,2.1573333333333333,0,0,0,0,0.08288888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.470222222222222,0,0,0.5782222222222222,0,0,0,0,0,0,0,0,0,0.5675555555555556,0,0,0,0,2.5326666666666666,0,0,0,0,0,0,0,0,0.6555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03688888888888889,0,0,0,0,0,0,0.006666666666666666,0,0,0,0,0,0,6.810666666666667,0,0,0.025111111111111112,0,0,0,0.009777777777777778,0,0,0,0.3237777777777778,0,0,0.5742222222222222,0,0,1.3102222222222222,0,0,0,0,0,0.027777777777777776,0,0,0,0,0,0.019333333333333334,0.04866666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.075777777777779,0,0,0,0.23466666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6531111111111112,0,0,0.13533333333333333,0.8713333333333333,0,0,1.2353333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10577777777777778,0.4964444444444444,0,0,0,0,0,0,4.333555555555556,0,0.0077777777777777776,0.0071111111111111115,0,0,0,0,0,0,0,0,0,0,44.95644444444444,0,0,0,0,0,0,0,0,0, ,2000,WEST,PR
2001-PR-EAST,0.12725490196078432,0,0,0.45588235294117646,0,0.1115686274509804,0,0,0.04450980392156863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04098039215686274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8994117647058824,0,0,0.14568627450980393,0,0,0.055098039215686276,0,0,0,0,0,0,0.18980392156862746,0,0,0,0,1.5264705882352942,0,0,0,0,0,0,0,0,0.011176470588235293,0,0,0,0,0,0,0,0,1.377843137254902,0,0,0,0,0.020196078431372548,0,0,0,0,0,0,0,0.01764705882352941,0.028235294117647056,0,0,0,0,2.3409803921568626,0,0,0.13294117647058823,0,0,0,0,0,0,0,0.06882352941176471,0,0,1.349607843137255,0,0,1.788627450980392,0,0,0,0,0,0.01,0,0,0.11509803921568627,0,0,0.008431372549019607,0.013725490196078431,0,0,0,0,0,0,0,0,0,0,1.5264705882352942,0,0.010784313725490198,0,14.975098039215686,0,0,0,0.1492156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103921568627451,0,0,0,0.8854901960784314,0,0.07862745098039216,0.5094117647058823,0,0,0,0,0,0,0,0,0,0,0.015294117647058824,0,0,0.1737254901960784,0.9292156862745098,0,0,0,0,0,0,1.6778431372549019,0.07470588235294118,0.004901960784313725,0,0,0,0,0,0,0,0,0,0,0,55.08509803921569,0,0,0,0,0,0,0,0,0, ,2001,EAST,PR
2001-PR-SOUTH,0.23377358490566036,0,0,2.2335849056603774,0,0,0,0,0.2871698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17037735849056604,0,0,0.2220754716981132,0,0,0.12509433962264152,0,0,0,0,0,0,0.3594339622641509,0,0,0,0,0.20773584905660378,0,0,0,0,0,0,0,0,0.023962264150943397,0,0,0,0,0,0,0,0,1.120188679245283,0,0,0,0,0.01,0,0,0,0,0,0,0.006226415094339623,0.03943396226415094,0,0,0,0,0,2.070943396226415,0,0,0.15433962264150944,0,0,0,0,0,0,0,0.549433962264151,0,0,0.2866037735849057,0,0,3.4854716981132077,0,0,0,0,0,0,0,0,0.08188679245283019,0,0,0.033773584905660375,0.03056603773584906,0,0,0,0,0,0,0,0,0,0,1.1084905660377358,4.884716981132075,0.033584905660377355,0,10.187924528301886,0,0,0,0.9381132075471699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4860377358490566,0,0,0,0.1479245283018868,0,0,1.1890566037735848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04622641509433962,0.8052830188679245,0,0,0.011132075471698113,0,0,0,3.500566037735849,0.052264150943396225,0.1252830188679245,0,0,0,0,0,0,0,0,0,0,0,56.694150943396224,0,0,0,0,0,0,0,0,0, ,2001,SOUTH,PR
2004-PR-EAST,0.009310344827586208,0,0,0.48344827586206895,0,0.27793103448275863,0,0,0.25275862068965516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0975862068965516,0,0,0,0,0,0.08137931034482758,0,0,0,0,0,0,0.23137931034482756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021379310344827585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396551724137931,0,0,0,0,0,0,0.02206896551724138,0.07827586206896552,0,0,0,0,0,2.6648275862068966,0,0,0.058965517241379314,0,0,0,0,0,0,0,0.06275862068965518,0.05379310344827586,0,0,0,0,2.174137931034483,0,0,0,0,0,0,0,0,0,0,0.09448275862068965,0.07206896551724137,0,0,0,0,0,0,0,0,0,0,0,0,0.9120689655172414,0,0,16.324137931034482,0,0,0,0.05793103448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6920689655172414,0,0,0,0.6706896551724139,0,0,0.23517241379310344,0,0,0,0,0,0,0,0,0,0,0.006896551724137932,0,0,0.3275862068965517,1.0948275862068966,0,0,0,0,0,0,1.8672413793103448,0.07389655172413793,0.0063103448275860785,0,0,0,0,0,0,0,0,0,0,0,45.931758620689656,0,0,0,0,0,0,0,0,0, ,2004,EAST,PR
2004-PR-WEST,0.009782608695652175,3.4443478260869567,0,1.2617391304347827,0,0,0,0.13195652173913044,1.0728260869565218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998913043478261,0,0,0.5858695652173913,0,0,0.03782608695652174,0,0,0,0,0,0,0.4252173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3204347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11652173913043479,0,0,0,0,0,0,0.013043478260869565,0.010869565217391304,0,0,0,0,0,3.7882608695652173,0.8928260869565218,0,0.16717391304347826,0.11065217391304348,0.1291304347826087,0,0,0,0,0,0.5517391304347826,0.06,0.010217391304347826,0.01891304347826087,0,0,1.9884782608695653,0,0,0,0,0,0,0,0,0.06543478260869565,0,0,0.03282608695652174,0.052826086956521745,0,0,0,0,0,0,0,0,0,0,0,0.6702173913043479,0,0,14.631304347826086,0,0,0,0.2658695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9739130434782608,0,0,0,1.2669565217391303,0,0.24760869565217392,0.6647826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3193478260869565,0.12434782608695652,0,0,0,0,0,0,3.1565217391304348,0.04695652173913044,0.004130434782608646,0,0,0,0,0,0,0,0,0,0,0,44.533478260869565,0,0,0,0,0,0,0,0,0, ,2004,WEST,PR
2005-PR-SOUTH,0.41600000000000004,0,0,1.8386666666666667,0,0.08533333333333333,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08866666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358,0,0,0,0,0,0.04533333333333334,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07266666666666667,0,0,0,0,0,0,0,0.04533333333333334,0,0,0,0,0,1.1826666666666668,0,0,0.09466666666666666,0,0,0,0,0,0,0,0.10866666666666668,0.022000000000000002,0,0.036,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.036,0,0,12.632,0,0,0,0.5553333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0.020666666666666667,0,0,0.186,0,0,0.31533333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37333333333333335,0.21333333333333332,0,0,0,0,0,0,1.6806666666666668,0.134,0.7339999999999994,0,0,0,0,0,0,0,0,0,0,0,53.404666666666664,0,0,0,0,0,0,0,0,0, ,2005,SOUTH,PR
2005-PR-WEST,0.018444444444444444,3.0673333333333335,0,1.724888888888889,0,0.138,0,0.5262222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008444444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9795555555555555,0,0,0.42088888888888887,0,0,0.024,0,0,0,0,0,0,0.48355555555555557,0,0,0,0,0.3566666666666667,0,0,0,0,0,0,0,0,0.27999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07355555555555555,0,0,0,0,0,0,0,0.010666666666666666,0,0,0,0,0,3.0484444444444443,0.8466666666666667,0,0.1968888888888889,0.13866666666666666,0,0,0.011777777777777778,0,0,0,0.6177777777777778,0.048,0,0.027333333333333334,0,0,1.6353333333333333,0,0,0,0,0,0,0,0,0.02822222222222222,0,0.02822222222222222,0.024444444444444442,0,0,0,0,0,0,0,0,0,0,0,0,0.11399999999999999,0,0,13.605777777777778,0,0,0,0.25066666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8744444444444444,0,0,0,1.4175555555555555,0,0,1.0386666666666666,0,0,0,0,0,0,0,0,0,0,0.012666666666666668,0,0,0.104,0.35688888888888887,0,0,0,0,0,0,2.7031111111111112,0.13866666666666666,0.1971111111111113,0,0,0,0,0,0,0,0,0,0,0,46.98777777777778,0,0,0,0,0,0,0,0,0, ,2005,WEST,PR
2006-PR-SOUTH,0,0,0,0.614,0,0.022000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7346666666666667,0,0,0.05466666666666666,0,0,0,0,0,0,0,0,0,0.2793333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8113333333333334,0,0,0.19266666666666668,0,0,0,0,0,0,0,0.22066666666666668,0.18733333333333335,0,0,0,0,1.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2813333333333334,0,0,5.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6646666666666667,0.02733333333333333,0,0,0.04,0,0,0.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29533333333333334,0.566,0,0,0,0,0,0,1.6033333333333333,0.068,0.08133333333333338,0,0,0,0,0,0,0,0,0,0,0,60.69866666666667,0,0,0,0,0,0,0,0,0, ,2006,SOUTH,PR
2006-PR-WEST,0,3.1995555555555555,0,1.574,0,0.16933333333333334,0,0.3422222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2451111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1413333333333333,0,0,0.42244444444444446,0,0,0.046,0,0,0,0,0,0,0.38466666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24955555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04511111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,12.262444444444444,0.78,0,0.1471111111111111,0,0,0,0.04088888888888889,0,0,0,0.49466666666666664,0.07777777777777778,0.0026666666666666666,0,0,0,2.1315555555555554,0,0,0,0,0,0,0,0,0,0,0.01977777777777778,0.009333333333333332,0.01911111111111111,0,0,0,0,0,0,0,0,0,0,0,1.0735555555555556,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7864444444444445,0.012888888888888887,0.3611111111111111,0,1.1244444444444444,0,0.2995555555555556,0.6542222222222221,0,0,0,0,0,0,0,0,0,0,0.015555555555555555,0,0,0.282,0.26711111111111113,0,0,0,0,0,0,3.6415555555555557,0.09688888888888889,0.4164444444444444,0,0,0,0,0,0,0,0,0,0,0,41.36022222222222,0,0,0,0,0,0,0,0,0, ,2006,WEST,PR
2007-PR-SOUTH,0,0,0,0.21666666666666667,0,0,0,0.03066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32066666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2693333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8966666666666665,0,0,0.16133333333333333,0,0,0,0,0,0,0,0.4093333333333333,0,0,0.05333333333333333,0,0,2.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42733333333333334,0,0,4.698666666666667,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8866666666666667,0.042666666666666665,0,0,0.12466666666666666,0,0,0.22466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10266666666666666,0.5406666666666667,0,0,0,0,0,0,8.309333333333333,0.126,0,0,0,0,0,0,0,0,0,0,0,0,56.352666666666664,0,0,0,0,0,0,0,0,0, ,2007,SOUTH,PR
2007-PR-WEST,0,3.5697777777777775,0,1.2884444444444445,0,0.38555555555555554,0,0.18755555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237111111111111,0,0,0.23866666666666667,0,0,0.03666666666666667,0,0,0,0,0,0,0.1968888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20444444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03133333333333333,0,0,0,0,0,0,0.005333333333333333,0.027111111111111114,0,0,0,0,0,8.574666666666667,0.9644444444444444,0,0.1971111111111111,0,0,0,0.07266666666666667,0,0,0,0.5953333333333334,0.026,0,0.011111111111111112,0,0,1.7442222222222221,0,0,0,0,0,0,0,0,0,0,0,0.06466666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1.1053333333333333,0,0,6.6226666666666665,0,0,0,0.33444444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9304444444444444,0.07888888888888888,0.017333333333333333,0,1.5815555555555554,0,0.2248888888888889,0.7002222222222222,0,0,0,0,0,0,0,0,0,0,6.666666666666666e-4,0,0,0.20755555555555555,0.43266666666666664,0,0,0,0,0,0,3.570222222222222,0.09155555555555556,0,0,0,0,0,0,0,0,0,0,0,0,45.25377777777778,0,0,0,0,0,0,0,0,0, ,2007,WEST,PR
