label,AA,AC,AF,AG,AGSP,AH,AL,AMPH,ANEM,AP,APR,AT,AU,BALL,BASP,BOSP,BRIA,CALG,CLAD,CLIO,CLSP,CMOR,CN,CORAL,CORJU,DCY,DICT,DL,DSO,EF,ENGO,ENSP,ERYTH,FAN,FF,FLCY,GO,HALI,HC,IR,IS,LIAG,LOBO,LYNG,MACA,MAFO,MAL,MAN,MAR,MC,MD,MDA,MF,MICRO,MILA,MILC,MILS,ML,MM,MME,MSPP,MYSP,OA,OD,OFAV,OFRA,OX,PA,PALY,PB,PBSP,PCL,PD,PEY,PF,PLUME,PP,PS,RAMI,ROD,ROPE,SARG,SB,SC,SCHIZ,SCSP,SH,SI,SL,SPO,SR,SS,SSPP,TC,TUBE,WHIP,ZO,ZOSO, ,YEAR,REGION,ISLAND
2016-STX-EAST,0,3.6666666666666665,0,2.8333333333333335,0,0,4.333333333333333,5.5,0,0,0,0,0,0,0,1.1666666666666667,0,0,0,0,0,0,3.1666666666666665,0,0,0,38,0.8333333333333334,0,0,0,0.6666666666666666,1.3333333333333333,0.5,0,0,0,13.333333333333334,0,0,0,0,98,0,0,0,0,0,0,1.6666666666666667,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,110.83333333333333,0,3.1666666666666665,0.16666666666666666,0,0,0,0,20.333333333333332,0.16666666666666666,12.666666666666666,3.3333333333333335,2.1666666666666665,0,3.6666666666666665,0,8.333333333333334,0,0,0,0,0,0.3333333333333333,0,0,0,0.8333333333333334,0,0,18.333333333333332,0,0,0," ",2016,EAST,STX
2017-STJ-EAST,2,0,0.2222222222222222,0,0.6666666666666666,0.16666666666666666,0.05555555555555555,0,0,0,0,0,0,0.05555555555555555,0,0,0,6.055555555555555,0,0,0,0.05555555555555555,1.3333333333333333,0.4444444444444444,0,0,30.666666666666668,0,0,0,0,3.3333333333333335,8.722222222222221,5.777777777777778,0,8.333333333333334,2.888888888888889,0.3333333333333333,0,0,0,0,45.611111111111114,0,23.333333333333332,0,0.3333333333333333,0,0,1.4444444444444444,0.6666666666666666,0,0,0,1.2777777777777777,0,0,0,0,0.05555555555555555,0,0,1.7777777777777777,0,3.9444444444444446,37.888888888888886,0.3333333333333333,12.777777777777779,0.1111111111111111,0,0,0,0,4.333333333333333,0,6.611111111111111,2.5,0.5555555555555556,0.8888888888888888,4.833333333333333,0.05555555555555555,0.2222222222222222,0,0,0,0,0,1.6666666666666667,0,5.722222222222222,0,5.833333333333333,0,0,0.05555555555555555,0,0,0," ",2017,EAST,STJ
2017-STT-EAST,0.8333333333333334,0,0,0.3333333333333333,0.3888888888888889,0.16666666666666666,3.3333333333333335,0,0,0,0,0,0,0.05555555555555555,0.2777777777777778,0,0,14.88888888888889,0,0.1111111111111111,0,0,0.2777777777777778,0,0,0,102.61111111111111,0.2222222222222222,0,0,0,0.5555555555555556,0.3333333333333333,0.16666666666666666,0,8,1.0555555555555556,0,0.05555555555555555,0,0,0,49.888888888888886,0,28.11111111111111,0,0,0,0,1.4444444444444444,0.5555555555555556,0,0,0,0.3888888888888889,0,0,0,0.16666666666666666,0.2777777777777778,0,0.1111111111111111,0.05555555555555555,0,1.8333333333333333,35.77777777777778,0.5555555555555556,2.5555555555555554,0,0,0.05555555555555555,0,0,20.38888888888889,0,0.8888888888888888,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.9444444444444444,5.666666666666667,0,0,0,0,0,0.5555555555555556,0,9.11111111111111,0,5.333333333333333,0,0,0.16666666666666666,0,0,0," ",2017,EAST,STT
2017-STX-EAST,1.9,0,0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.13333333333333333,0,0,0,0,0,0,0,0.5666666666666667,0,0,3.066666666666667,0,0.13333333333333333,0.5333333333333333,0,1.0666666666666667,0.03333333333333333,0,0,64.43333333333334,0.06666666666666667,0,0,0,1.4333333333333333,2.1333333333333333,1.1666666666666667,0,13.6,2.8333333333333335,1.1666666666666667,0,0,0,0,24.966666666666665,0,24.533333333333335,0,0,0,0,1.5666666666666667,0.16666666666666666,0,0,0,0.9,0.3333333333333333,0,0,0,0.3333333333333333,0,0,3.2,0,1.5666666666666667,16.066666666666666,0.26666666666666666,4.566666666666666,0,0,0.03333333333333333,0,0.23333333333333334,2.8666666666666667,0,0.7333333333333333,1.9,0.4666666666666667,1.0666666666666667,12.966666666666667,0.26666666666666666,3.7666666666666666,0,0,0,0,0,0.3333333333333333,0,8.833333333333334,0,1.3666666666666667,0,0,0,0,0,0," ",2017,EAST,STX
2017-STT-NORTH,0.16666666666666666,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5.166666666666667,0,0,0,0,1.8333333333333333,0.5,0,0,180.66666666666666,0.16666666666666666,0,0,0,3.3333333333333335,4.833333333333333,9,0,14.5,1,0,0,0,0,0,0,0,8.666666666666666,0,0,0,0,1,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,3.1666666666666665,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,3,0,0,0,0,0,0,0,3,0.16666666666666666,0,0,5.5,3.1666666666666665,0,0,0,0,0,0,0.5,0,12.833333333333334,0,3.1666666666666665,0,0,0,0,0,0," ",2017,NORTH,STT
2017-STX-NORTH,1.4,0,0,0.3,0.3,0.03333333333333333,10.4,0,0,0,0,0,0.06666666666666667,0.16666666666666666,1.8666666666666667,0,0,2.066666666666667,0,0.03333333333333333,2.2333333333333334,0,0.3333333333333333,0.06666666666666667,0,0,19.333333333333332,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.7666666666666667,0.03333333333333333,1,0,3.566666666666667,3.7666666666666666,0.4,0,0,0,0,3.033333333333333,0,6.466666666666667,0,0,0,0,1.9666666666666666,0.06666666666666667,0,0.06666666666666667,0,1.1333333333333333,0,0,0,0,0.3333333333333333,0,0,3.6333333333333333,0,0.9333333333333333,2.033333333333333,0.5666666666666667,3.1666666666666665,0.36666666666666664,0,0,0,0,0.8333333333333334,0,1.1,0.5333333333333333,1.1,1.1,2.1333333333333333,1.5333333333333334,0.23333333333333334,0,0,0,0,0,0.5333333333333333,0,11.833333333333334,0.03333333333333333,2.1,0,0,0,0,0,0," ",2017,NORTH,STX
2017-STT-SOUTH,1.6666666666666667,0,0,0.55,0.7166666666666667,0.1,1.8166666666666667,0,0,0,0,0,2.9833333333333334,0,0.8333333333333334,0,0,6.166666666666667,0,0.36666666666666664,0,0.016666666666666666,0.4666666666666667,0.11666666666666667,0,0.016666666666666666,102.46666666666667,0.06666666666666667,0,0.05,0,1.1,1.0166666666666666,0.5166666666666667,0,12.566666666666666,0.6833333333333333,0.85,0,0,0,0,35.3,0,18.883333333333333,0,0,0,0,1.8333333333333333,0.2,0,0.15,0.4166666666666667,0.4166666666666667,0,0,0,0,0.55,0,0,7.266666666666667,0.016666666666666666,1.55,22.283333333333335,1.5333333333333334,3.9166666666666665,0.25,0,0.06666666666666667,0.08333333333333333,0.03333333333333333,8.116666666666667,0,0.1,0.43333333333333335,0.5166666666666667,6.433333333333334,0.75,0.9333333333333333,0.03333333333333333,0,0,0,0,0,0.9,0,9.8,0,4.3,0,0,0.05,0,0.016666666666666666,0," ",2017,SOUTH,STT
2017-STX-SOUTH,0.16666666666666666,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0.4166666666666667,0,0,13.333333333333334,0,0.25,3.75,0,0,0,0,0,31.75,0,0,0.08333333333333333,0,1.3333333333333333,0.08333333333333333,0.4166666666666667,0,4.75,0,1.75,0,0,0,0,110.08333333333333,0,29.916666666666668,0,0,0,0,0.4166666666666667,0.16666666666666666,0,0,0,1.25,0.16666666666666666,0,0,0,0,0,0,0,0,0.16666666666666666,3.25,0.16666666666666666,4.833333333333333,0.25,0,0,0.4166666666666667,0,3.25,0,0,0.25,1,4.333333333333333,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,0,6.583333333333333,0,0.4166666666666667,0,0,0,0,0,0," ",2017,SOUTH,STX
2017-STT-WEST,0.9166666666666666,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,3.4166666666666665,0,0.25,0,0,0.16666666666666666,0,0,1.8333333333333333,48.166666666666664,0.3333333333333333,0,0,0.08333333333333333,1.9166666666666667,2.4166666666666665,2.1666666666666665,0,2.8333333333333335,2,0,0,0,0,0,4.75,0,15.75,0,0,0,0,1.0833333333333333,0,0,0,1,2.75,0.08333333333333333,0,0,0,0,0,0,1.75,0,2,1.5,0.16666666666666666,4.166666666666667,0.25,0,0.08333333333333333,0,0,0.9166666666666666,0,0.75,1.1666666666666667,0.16666666666666666,98.16666666666667,9.916666666666666,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,0,4.833333333333333,0,4.333333333333333,0,0,0,0,0,0," ",2017,WEST,STT
2017-STX-WEST,2.75,0,0,0.25,0.25,0.16666666666666666,0.6666666666666666,0,0,0,0,0,0,0,3.4166666666666665,0,0,7.416666666666667,0,0.08333333333333333,2.1666666666666665,0,1.0833333333333333,0,0,0,44.333333333333336,0.9166666666666666,0,0.08333333333333333,0,0.9166666666666666,0.6666666666666666,0.3333333333333333,0,10.083333333333334,0.3333333333333333,0,0,0,0,0,23.25,0,16.75,0,0,0,0,4.333333333333333,0.25,0,0,0,0.16666666666666666,0,0,0,0,0.8333333333333334,0,0,13.166666666666666,0,0.5,20.333333333333332,0.8333333333333334,9.166666666666666,0,0,0,0,0,3.5,0,2.1666666666666665,0.16666666666666666,0.9166666666666666,1.4166666666666667,0,0.9166666666666666,0,0,0,0,0,0,2.0833333333333335,0,17.916666666666668,0,1.3333333333333333,0,0,0,0,0,0," ",2017,WEST,STX
2018-STJ-EAST,0.4444444444444444,0,0.1111111111111111,0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0,0,0,0,0,0,0.1111111111111111,0,0,0,5.222222222222222,0,0.1111111111111111,0,0,1.7777777777777777,0.1111111111111111,0,0,44.888888888888886,0.05555555555555555,0,0.05555555555555555,0,4.611111111111111,7.222222222222222,4.611111111111111,0,17.555555555555557,6,1.9444444444444444,0,0,0,0,16.5,0,8.222222222222221,0,0.05555555555555555,0,0,1.2222222222222223,0,0,0,0,0.3888888888888889,0,0,0,0,0,0,0,1.2777777777777777,0,4.166666666666667,25.944444444444443,0.5555555555555556,7.277777777777778,0.1111111111111111,0,0,0,0,4.277777777777778,0,2,1.5555555555555556,0.16666666666666666,1.5,4.833333333333333,0.5,0.05555555555555555,0,0,0,0,0,1.1111111111111112,0,5.888888888888889,0,3.2777777777777777,0,0,0.16666666666666666,0,0.1111111111111111,0," ",2018,EAST,STJ
2018-STT-EAST,0.9444444444444444,0,0,0,0.3333333333333333,0,2.6666666666666665,0,0,0,0,0,0.2222222222222222,0,0.2777777777777778,0,0,10.777777777777779,0,0.16666666666666666,0,0,0.2222222222222222,0.05555555555555555,0,0,41.27777777777778,0.3333333333333333,0,0.05555555555555555,0,0.5,0.7222222222222222,0.7222222222222222,0,0.2777777777777778,0.4444444444444444,0,0,0,0,0,45.333333333333336,0,23.22222222222222,0,0,0,0,1.2777777777777777,0.2222222222222222,0,0,0,0.3333333333333333,0,0,0,0,0.2222222222222222,0,0,0.2777777777777778,0,0.5,21.27777777777778,1.5,1.3888888888888888,0.1111111111111111,0,0,0,0,14.11111111111111,0,2.5,0.3333333333333333,0.05555555555555555,0,1.5,0.6111111111111112,14.666666666666666,0,0,0,0,0,0.4444444444444444,0,6.666666666666667,0,3.0555555555555554,0,0,0,0,0,0," ",2018,EAST,STT
2018-STX-EAST,2.1666666666666665,0,0,0.25,0.08333333333333333,0.1111111111111111,1.2222222222222223,0,0,0,0,0,0,0.05555555555555555,0.3888888888888889,0,0,6.555555555555555,0,0.05555555555555555,0.3333333333333333,0,1.0277777777777777,0,0,0,47.111111111111114,0.3333333333333333,0.027777777777777776,0.027777777777777776,0,2.0833333333333335,1.1388888888888888,0.6111111111111112,0,30.944444444444443,2.7777777777777777,1.75,0,0,0,0,28.27777777777778,0,16.36111111111111,0,0,0,0,1.4166666666666667,0.19444444444444445,0,0,0,0.8611111111111112,0.1111111111111111,0,0,0,0.1388888888888889,0,0,2.9166666666666665,0,1.5277777777777777,21.75,0.8333333333333334,2.611111111111111,0.1111111111111111,0,0,0,0,5.694444444444445,0,3.8055555555555554,1.9444444444444444,0.4444444444444444,0.5833333333333334,10.027777777777779,0.4722222222222222,0.4722222222222222,0,0,0,0,0,0.3055555555555556,0,8.63888888888889,0,0.9166666666666666,0,0,0.05555555555555555,0,0,0," ",2018,EAST,STX
2018-STT-NORTH,0.16666666666666666,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0.3333333333333333,0,0,0,0,0.16666666666666666,0,0,0,99,0,0,0,0.16666666666666666,5.5,1.8333333333333333,5.166666666666667,0,2.1666666666666665,1.1666666666666667,0,0,0,0,0,0,0,4.5,0,0,0,0,1.1666666666666667,0,0,0,0,0.16666666666666666,0,0,0,0,0.3333333333333333,0,0,1.1666666666666667,0,0,1,0.5,2,0,0,0,0,0,0,0,1.5,0,0,0,3.6666666666666665,2.5,0,0,0,0,0,0,0,0,7.5,0,2,0,0,0,0,0,0," ",2018,NORTH,STT
2018-STX-NORTH,0.6666666666666666,0,0,0.3333333333333333,0.3333333333333333,0,8.3,0,0,0,0,0,0.16666666666666666,0.2,1.8,0,0,1.2666666666666666,0,0.03333333333333333,2.033333333333333,0,0.3,0.06666666666666667,0,0,40.13333333333333,0.13333333333333333,0,0,0,1.5,0.06666666666666667,0.9,0,2.8333333333333335,1.6666666666666667,0.5666666666666667,0,0,0,0,7.266666666666667,0,12.633333333333333,0,0.1,0,0,1.6333333333333333,0.13333333333333333,0,0,0,1.3333333333333333,0,0,0,0,0.26666666666666666,0,0,3.933333333333333,0,2.2333333333333334,1.0666666666666667,0.3333333333333333,1.8666666666666667,0.16666666666666666,0,0,0,0,1.3,0,0.8333333333333334,0.5,1.1333333333333333,0.43333333333333335,2.2333333333333334,0.6,2.3,0,0,0,0,0,0.43333333333333335,0,13.4,0,2.1,0,0,0.26666666666666666,0.03333333333333333,0,0," ",2018,NORTH,STX
2018-STT-SOUTH,1.35,0,0.016666666666666666,0.06666666666666667,0.25,0.03333333333333333,1.5833333333333333,0,0,0,0,0,2.816666666666667,0.05,0.45,0,0,7.616666666666666,0,0.16666666666666666,0,0.03333333333333333,0.35,0.15,0,0.016666666666666666,42.45,0.16666666666666666,0.03333333333333333,0.1,0,1.4666666666666666,1.2,0.45,0,11.3,0.6333333333333333,1.4833333333333334,0,0,0,0,37.31666666666667,0,15.583333333333334,0,0.03333333333333333,0,0,1.8,0.26666666666666666,0,0,0,0.5333333333333333,0,0,0,0.016666666666666666,0.31666666666666665,0,0,9.4,0,1.2166666666666666,18.216666666666665,1.4333333333333333,4.116666666666666,0.18333333333333332,0,0,0.016666666666666666,0,8.716666666666667,0,0.1,0.5166666666666667,0.35,5.233333333333333,0.6166666666666667,1.2833333333333334,1.25,0,0,0,0,0,0.6333333333333333,0,8.85,0,3.8666666666666667,0,0,0.16666666666666666,0,0,0," ",2018,SOUTH,STT
2018-STX-SOUTH,0,0,0,0,0.08333333333333333,0,0.25,0,0,0,0,0,0,0,0.3333333333333333,0,0,13.833333333333334,0,0,1.6666666666666667,0,0,0.08333333333333333,0,0,27.416666666666668,0,0,0,0,0.8333333333333334,0,0.16666666666666666,0,35.083333333333336,0.08333333333333333,3.75,0,0,0,0,37.166666666666664,0,28.916666666666668,0,0,0,0,0.25,0,0,0,0,0.5,0.5833333333333334,0,0,0,0,0,0,0,0,0.08333333333333333,3.5833333333333335,0.3333333333333333,3.4166666666666665,0.5,0,0,0.16666666666666666,0,1.75,0,0,0.25,2,2.5,0,0,0.08333333333333333,0,0,0,0,0,0,0,2.3333333333333335,0,0.9166666666666666,0,0,0,0,0,0," ",2018,SOUTH,STX
2018-STT-WEST,1,0,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0.08333333333333333,0,0,0,2.3333333333333335,0,0,0,0,0.16666666666666666,0,0,0.3333333333333333,72,0.25,0,0,0,1.0833333333333333,2.6666666666666665,0.4166666666666667,0,2.1666666666666665,1,0.16666666666666666,0,0,0,0,14.833333333333334,0,16.916666666666668,0,0,0,0,0.9166666666666666,0.08333333333333333,0,0,0,0.5833333333333334,0,0,0,0,0,0,0,1.0833333333333333,0,2.1666666666666665,0.8333333333333334,0.25,1.9166666666666667,0.25,0,0,0,0,2.6666666666666665,0,0.3333333333333333,0,0.08333333333333333,67.25,4.25,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0,2.5,0,2.9166666666666665,0,0,0,0,0,0," ",2018,WEST,STT
2018-STX-WEST,1.8333333333333333,0,0,0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0,0,0,0,0,0,0,3.6666666666666665,0,0,4.916666666666667,0,0.5,2.4166666666666665,0,0.75,0.4166666666666667,0,0,34.916666666666664,0.4166666666666667,0,0.25,0,2.0833333333333335,0.16666666666666666,0.4166666666666667,0,2.5,1.0833333333333333,0.08333333333333333,0,0,0,0,27.583333333333332,0,16.083333333333332,0,0,0,0,6.916666666666667,0.4166666666666667,0,0,0,0.25,0,0,0,0,0.16666666666666666,0,0.16666666666666666,11.166666666666666,0,0.5,16,2.5,8.416666666666666,0,0,0,0,0,0.25,0,3.0833333333333335,0.4166666666666667,1.6666666666666667,0,0.08333333333333333,0.5,0,0,0,0,0,0,1.6666666666666667,0,16.083333333333332,0,1.9166666666666667,0,0,0.08333333333333333,0,0,0," ",2018,WEST,STX
